City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Laubach,DE,50.542,8.9903,69.37,71,89,5.23,overcast clouds
297,Tautira,PF,-17.7333,-149.15,77.05,71,6,3.98,clear sky
298,Raton,US,36.9034,-104.4391,85.05,39,0,10.36,clear sky
299,Acapulco,MX,16.8634,-99.8901,86.72,65,71,6.6,broken clouds
300,Lakes Entrance,AU,-37.8811,147.981,48.16,75,71,12.35,broken clouds
301,Gamba,GA,-2.65,10.0,71.44,86,15,9.64,few clouds
302,Northam,GB,51.0333,-4.2167,68.61,73,6,9.73,clear sky
303,Hambantota,LK,6.1241,81.1185,82.74,74,20,11.5,few clouds
304,Dryden,CA,49.7833,-92.7503,81.0,29,1,1.68,clear sky
305,Luwingu,ZM,-10.2621,29.9271,62.83,44,100,5.7,overcast clouds
306,Okakarara,NA,-20.5833,17.4333,57.16,34,1,5.84,clear sky
307,Hailar,CN,49.2,119.7,55.17,93,100,14.09,moderate rain
308,Vao,NC,-22.6667,167.4833,74.25,88,0,7.65,clear sky
309,Heyang,CN,26.1011,107.473,70.41,99,98,2.66,overcast clouds
310,Along,IN,28.1667,94.7667,74.66,98,82,1.16,broken clouds
311,Cadereyta,MX,25.5833,-99.9833,93.18,25,12,12.66,few clouds
312,Kasane,BW,-17.8167,25.15,60.87,45,1,7.54,clear sky
313,Maragogi,BR,-9.0122,-35.2225,76.44,82,8,13.49,clear sky
314,Harindanga,IN,22.0383,88.3214,83.43,79,4,10.4,clear sky
315,Quelimane,MZ,-17.8786,36.8883,69.75,83,20,3.44,few clouds
316,Copiapo,CL,-27.3667,-70.3333,70.77,34,28,8.46,scattered clouds
317,Rio Gallegos,AR,-51.6226,-69.2181,34.47,82,100,8.08,overcast clouds
318,Gilbues,BR,-9.8317,-45.3439,91.69,26,22,9.26,few clouds
319,Grand Gaube,MU,-20.0064,57.6608,66.38,74,96,3.0,overcast clouds
320,Kaitangata,NZ,-46.2817,169.8464,45.95,94,100,19.46,light rain
321,Xiongyue,CN,40.1774,122.1228,74.5,75,8,6.96,clear sky
322,Alta Floresta,BR,-9.8756,-56.0861,96.04,23,13,7.09,few clouds
323,Auki,SB,-8.7676,160.7034,74.86,81,11,5.41,few clouds
324,Swellendam,ZA,-34.0226,20.4417,53.49,73,0,1.36,clear sky
325,Karpogory,RU,64.0019,44.4451,60.82,63,99,3.04,overcast clouds
326,Goya,AR,-29.14,-59.2626,70.63,68,100,3.87,overcast clouds
